userId,movieId,rating,timestamp,type
1,31,2.5,1260759144,train
1,1029,3.0,1260759179,test
1,1061,3.0,1260759182,train
1,1129,2.0,1260759185,train
1,1172,4.0,1260759205,train
1,1263,2.0,1260759151,test
1,1287,2.0,1260759187,train
1,1293,2.0,1260759148,train
1,1339,3.5,1260759125,train
1,1343,2.0,1260759131,train
1,1371,2.5,1260759135,train
1,1405,1.0,1260759203,train
1,1953,4.0,1260759191,train
1,2105,4.0,1260759139,train
1,2150,3.0,1260759194,train
1,2193,2.0,1260759198,test
1,2294,2.0,1260759108,train
1,2455,2.5,1260759113,train
1,2968,1.0,1260759200,test
1,3671,3.0,1260759117,train
2,10,4.0,835355493,train
2,17,5.0,835355681,train
2,39,5.0,835355604,train
2,47,4.0,835355552,train
2,50,4.0,835355586,train
2,52,3.0,835356031,train
2,62,3.0,835355749,train
2,110,4.0,835355532,test
2,144,3.0,835356016,train
2,150,5.0,835355395,train
2,153,4.0,835355441,train
2,161,3.0,835355493,train
2,165,3.0,835355441,train
2,168,3.0,835355710,train
2,185,3.0,835355511,train
2,186,3.0,835355664,train
2,208,3.0,835355511,train
2,222,5.0,835355840,train
2,223,1.0,835355749,train
2,225,3.0,835355552,train
2,235,3.0,835355664,train
2,248,3.0,835355896,train
2,253,4.0,835355511,train
2,261,4.0,835355681,train
2,265,5.0,835355697,train
2,266,5.0,835355586,train
2,272,3.0,835355767,train
2,273,4.0,835355779,train
2,292,3.0,835355492,train
2,296,4.0,835355395,train
2,300,3.0,835355532,train
2,314,4.0,835356044,train
2,317,2.0,835355551,train
2,319,1.0,835355918,train
2,339,3.0,835355492,train
2,349,4.0,835355441,train
2,350,4.0,835355697,train
2,356,3.0,835355628,train
2,357,3.0,835355749,test
2,364,3.0,835355604,train
2,367,3.0,835355619,train
2,370,2.0,835355932,train
2,371,3.0,835355968,train
2,372,3.0,835356094,train
2,377,3.0,835355710,train
2,382,3.0,835356165,train
2,405,2.0,835356246,train
2,410,3.0,835355532,train
2,454,4.0,835355604,train
2,457,3.0,835355511,train
2,468,4.0,835355790,train
2,474,2.0,835355828,train
2,480,4.0,835355643,test
2,485,3.0,835355918,train
2,497,3.0,835355880,train
2,500,4.0,835355731,train
2,508,4.0,835355860,train
2,509,4.0,835355719,train
2,515,4.0,835355817,train
2,527,4.0,835355731,train
2,537,4.0,835356199,train
2,539,3.0,835355767,train
2,550,3.0,835356109,train
2,551,5.0,835355767,train
2,552,3.0,835355860,train
2,585,5.0,835355817,train
2,586,3.0,835355790,train
2,587,3.0,835355779,train
2,588,3.0,835355441,train
2,589,5.0,835355697,train
2,590,5.0,835355395,train
2,592,5.0,835355395,train
2,593,3.0,835355511,train
2,616,3.0,835355932,train
2,661,4.0,835356141,test
2,720,4.0,835355978,train
